keys,en,de
PLAY,PLAY,SPIELEN
SETTINGS,SETTINGS,EINSTELLUNGEN
EXIT,EXIT,BEENDEN
CONTINUE,CONTINUE,FORTSETZEN
MAIN MENU,MAIN MENU,HAUPTMENÜ
VSync,VSync,VSync
Volume,Volume,Lautstärke
Aim Sensitivity,Aim Sensitivity,Zielempfindlichkeit
Language,Language,Sprache
Respawn,Respawn,Wiederbeleben
Return to Hub,Return to Hub,Zurück zum Hub
Exit Game,Exit Game,Spiel beenden
Fullscreen,Fullscreen,Vollbild
Window,Window,Fenster
Window Maximized,Window Maximized,Fenster maximiert
Unlimited,Unlimited,Unbegrenzt
"Close","Close","Schließen"
"Yes","Yes","Ja"
"No","No","Nein"
"Talk","Talk","Sprechen"
"Talk to Quest Giver","Talk to Quest Giver","Mit dem Questgeber sprechen"
"Talk to Shopkeeper","Talk to Shopkeeper","Mit dem Händler sprechen"
"Open Crate (Dynamite)","Open Crate (Dynamite)","Kiste öffnen (Dynamit)"
"E to Interact","E to Interact","E zum Interagieren"
"Townsfolk","Townsfolk","Einwohner"
"Quest Giver","Quest Giver","Questgeber"
"Shopkeeper","Shopkeeper","Händler"
"Equipment","Equipment","Ausrüstung"
"Abilities","Abilities","Fähigkeiten"
"Cosmetics","Cosmetics","Kosmetik"
"Primary Weapon","Primary Weapon","Primärwaffe"
"Secondary Weapon","Secondary Weapon","Sekundärwaffe"
"Primary Ammo","Primary Ammo","Primärmunition"
"Secondary Ammo","Secondary Ammo","Sekundärmunition"
"Primary Weapon Skin","Primary Weapon Skin","Primärwaffen-Skin"
"Secondary Weapon Skin","Secondary Weapon Skin","Sekundärwaffen-Skin"
"Default","Default","Standard"
"None (unequip)","None (unequip)","Keine (ablegen)"
"Empty","Empty","Leer"
"Slot","Slot","Platz"
"Bounty Title","Bounty Title","Kopfgeldtitel"
"Quest Title","Quest Title","Questtitel"
"Quest description","Quest description","Questbeschreibung"
"Select a bounty","Select a bounty","Kopfgeld auswählen"
"No bounties posted yet.","No bounties posted yet.","Noch keine Kopfgelder ausgeschrieben."
"No details available yet.","No details available yet.","Noch keine Details verfügbar."
"No word yet on this one.","No word yet on this one.","Noch keine Informationen hierzu."
"None yet.","None yet.","Noch keine."
"No abilities unlocked yet.","No abilities unlocked yet.","Noch keine Fähigkeiten freigeschaltet."
"In Progress","In Progress","In Bearbeitung"
"Completed","Completed","Abgeschlossen"
"Available","Available","Verfügbar"
"Locked","Locked","Gesperrt"
"Owned","Owned","Besessen"
"Buy","Buy","Kaufen"
"Gold: %d","Gold: %d","Gold: %d"
"Quest received: %s","Quest received: %s","Quest erhalten: %s"
"Shop","Shop","Händler"
"Arms Dealer","Arms Dealer","Waffenhändler"
"Bank","Bank","Bank"
"Post Office","Post Office","Postamt"
"Railway Station","Railway Station","Bahnhof"
"Sheriff's Office","Sheriff's Office","Büro des Sheriffs"
"Jail","Jail","Gefängnis"
"Church","Church","Kirche"
"Enter Arms Dealer","Enter Arms Dealer","Waffenhändler betreten"
"Exit Arms Dealer","Exit Arms Dealer","Waffenhändler verlassen"
"Enter Bank","Enter Bank","Bank betreten"
"Enter Church","Enter Church","Kirche betreten"
"Enter Post Office","Enter Post Office","Postamt betreten"
"Enter Saloon","Enter Saloon","Saloon betreten"
"Enter Sheriff's Office","Enter Sheriff's Office","Büro des Sheriffs betreten"
"Exit Saloon","Exit Saloon","Saloon verlassen"
"Exit Sheriff's Office","Exit Sheriff's Office","Büro des Sheriffs verlassen"
"Inspect Bounty Board","Inspect Bounty Board","Kopfgeldtafel untersuchen"
"Wait for Train","Wait for Train","Auf den Zug warten"
"Return","Return","Zurück"
"Accept","Accept","Annehmen"
"Decline","Decline","Ablehnen"
"LOADING","LOADING","LADEN"
"Bandit Trouble","Bandit Trouble","Ärger mit Banditen"
"Sand Spirit","Sand Spirit","Sandgeist"
"Plains","Plains","Ebenen"
"Mountains","Mountains","Berge"
"Swamp","Swamp","Sumpf"
"Gold","Gold","Gold"
"Heavy Rounds","Heavy Rounds","Schwere Patronen"
"Hits harder, flies slower.","Hits harder, flies slower.","Trifft härter, fliegt langsamer."
"Rapid Rounds","Rapid Rounds","Schnelle Patronen"
"Lighter, faster, hits softer.","Lighter, faster, hits softer.","Leichter, schneller, trifft schwächer."
"Regular Rounds","Regular Rounds","Standardpatronen"
"Standard-issue rounds. No frills.","Standard-issue rounds. No frills.","Standardmunition. Ohne Schnickschnack."
"Bandana","Bandana","Bandana"
"Keeps the trail dust out of your lungs.","Keeps the trail dust out of your lungs.","Hält den Staub der Straße aus deinen Lungen."
"Traveling Clothes","Traveling Clothes","Reisekleidung"
"Plain, well-worn clothes fit for the trail.","Plain, well-worn clothes fit for the trail.","Schlichte, abgetragene Kleidung für die Reise."
"Deputy Hat","Deputy Hat","Stellvertreterhut"
"A tin star pinned to the brim. Marks you as the law's helping hand.","A tin star pinned to the brim. Marks you as the law's helping hand.","Ein Blechstern am Rand. Kennzeichnet dich als Helfer des Gesetzes."
"Duster Coat","Duster Coat","Sarazenmantel"
"Dust-worn leather, good for long rides.","Dust-worn leather, good for long rides.","Staubiges Leder, gut für lange Ritte."
"Engraved Grip","Engraved Grip","Griff mit Gravur"
"A hand-etched grip for your sidearm.","A hand-etched grip for your sidearm.","Ein handgravierte Griff für deine Seitenwaffe."
"Sheriff's Hat","Sheriff's Hat","Hut des Sheriffs"
"A weathered tin star pinned to the brim.","A weathered tin star pinned to the brim.","Ein verwitterter Blechstern am Rand."
"Test Item","Test Item","Testgegenstand"
"This item acts as a placeholder.","This item acts as a placeholder.","Dieser Gegenstand dient als Platzhalter."
"Dynamite","Dynamite","Dynamit"
"Spirit","Spirit","Geist"
"Revolver","Revolver","Revolver"
"Shotgun","Shotgun","Schrotflinte"
"Welcome to the bank. Safest vault this side of the territory.","Welcome to the bank. Safest vault this side of the territory.","Willkommen in der Bank. Der sicherste Tresor weit und breit."
"No safe-deposit boxes or loans just yet - we're still setting up shop.","No safe-deposit boxes or loans just yet - we're still setting up shop.","Noch keine Schließfächer oder Kredite - wir richten uns noch ein."
"Come back once we're properly open for business.","Come back once we're properly open for business.","Komm wieder, sobald wir richtig geöffnet haben."
"Mail's running slow with the railway still finding its feet.","Mail's running slow with the railway still finding its feet.","Die Post kommt nur langsam, solange die Eisenbahn noch aufgebaut wird."
"Got a letter for you? Best hang onto it a while longer.","Got a letter for you? Best hang onto it a while longer.","Hast du einen Brief? Behalte ihn lieber noch eine Weile."
"Once that train's running regular, we'll have deliveries sorted.","Once that train's running regular, we'll have deliveries sorted.","Sobald der Zug regelmäßig fährt, kümmern wir uns um die Lieferungen."
"This town's been quiet lately. Aiming to keep it that way.","This town's been quiet lately. Aiming to keep it that way.","In dieser Stadt war es zuletzt ruhig. Das soll auch so bleiben."
"Got a fella cooling off in the cell over there. Rustled the wrong man's cattle.","Got a fella cooling off in the cell over there. Rustled the wrong man's cattle.","Dort drüben sitzt einer in der Zelle. Er hat die falschen Rinder gestohlen."
"You keep your nose clean and we won't have any trouble, partner.","You keep your nose clean and we won't have any trouble, partner.","Halte dich anständig und wir bekommen keinen Ärger, Partner."
"Line's still being laid down further out. No trains running just yet.","Line's still being laid down further out. No trains running just yet.","Die Gleise werden weiter draußen noch verlegt. Noch fahren keine Züge."
"Soon as the rails are done, you'll be able to ride clear across the territory.","Soon as the rails are done, you'll be able to ride clear across the territory.","Sobald die Gleise fertig sind, kannst du durch das ganze Gebiet fahren."
"Patience, partner. Good things take time.","Patience, partner. Good things take time.","Geduld, Partner. Gute Dinge brauchen Zeit."
"Bandits have been raiding the trade routes outside town.","Bandits have been raiding the trade routes outside town.","Banditen überfallen die Handelswege außerhalb der Stadt."
"Thin their numbers - bring me word that 5 of them are dealt with - and I'll make it worth your while.","Thin their numbers - bring me word that 5 of them are dealt with - and I'll make it worth your while.","Dezimier ihre Zahl - erledige 5 von ihnen - und ich werde dich dafür belohnen."
"Five bandits down. Roads are safer already.","Five bandits down. Roads are safer already.","Fünf Banditen erledigt. Die Straßen sind schon sicherer."
"Here, take this - a deputy hat, official as they come. Much obliged, partner.","Here, take this - a deputy hat, official as they come. Much obliged, partner.","Hier, nimm das - einen echten Stellvertreterhut. Vielen Dank, Partner."
"Howdy. Care to take a look at what I've got?,Hallo. Willst du dir ansehen","Howdy. Care to take a look at what I've got?,Hallo. Willst du dir ansehen"," was ich habe?"
